#묶음	번호	식별자	EN	JP	KO
0	0	T_BUY_TRACK	BUY TRACK	道を買う	
0	1	T_RIDE	ride	アトラクション	
0	2	T_PATH	path	歩道	
0	3	T_SHOP	shop	ショップ	
0	4	T_STAFF	staff	スタッフ	
0	5	T_MAKE	make	作る	
0	6	T_RAIL	queue	整列歩道	
0	7	T_BANK_TITLE	MY LITTLE BANK	私の小さな銀行	
0	8	T_BANK_MONEY	ACCOUNT BALANCE	預金残高	
0	9	T_BANK_ASSET	PARK VALUE	パークの価値	
0	10	T_BANK_INTEREST	INTEREST	持ち株	
0	11	T_BANK_LOAN	CURRENT LOAN	借入れ	
0	12	T_BANK_PAYMENTS	REPAYMENTS	再支払額	
0	13	T_INPUT_TITLE	WELCOME	ようこそ	
0	14	T_INPUT_PARK   	PARK NAME :	テーマパークの名前	
0	15	T_INPUT_NAME   	YOUR NAME :	あなたの名前	
0	16	T_INPUT_THEME 	PARK THEME :	パークのテーマ	
0	17	T_COST	COST 	費用	
0	18	T_RIDE_MERRY	MERRY-GO-ROUND	コーヒーカップ  	
0	19	T_RIDE_WHEEL  	BIG WHEEL	ビッグホイール 	
0	20	T_RIDE_CASTLE  	BOUNCY CASTLE	バウンシーキャッスル 	
0	21	T_RIDE_TUBING  	RUBBER TUBING	ウォータースライダー 	
0	22	T_RIDE_DIPPER  	BIG DIPPER	ウッドコースター 	
0	23	T_RIDE_ROLLER	ROLLER COASTER	ジェットコースター 	
0	24	T_RIDE_SNAKE_SLIDE 	SNAKES AND LADDERS	スネークスライド 	
0	25	T_RIDE_D_BOMBER  	DIVE BOMBER 	ダイブボンバー 	
0	26	T_RIDE_P_BOMBER  	PLANET BOMBER 	プラネットボンバー 	
0	27	T_RIDE_LOOKOUT_TOWER	OBSERVATION TOWER	展望台 	
0	28	T_TIME_REMAINING	TIME REMAINING	残り時間	
0	29	T_RIDE_FLIGHT  	FLIGHT SIM	バーチャルフライト 	
0	30	T_RIDE_TREE  	TREE HOUSE	ツリーハウス 	
0	31	T_SHOP_SALTY	SALTY DOG	ソルティードッグ 	
0	32	T_SHOP_POKEY	POKEY COLA	ドンキーコーラ 	
0	33	T_SHOP_WIPPY	WHIPPY ICE CREAM	ウォーリーアイス 	
0	34	T_SHOP_BIG_FRIES	BIG TIME FRIES	ビッグフライポテト 	
0	35	T_SHOP_BIG_BUGER	BIG TIME BURGER	ビッグバーガー 	
0	36	T_MAKEUP_TROPICAL	TROPICAL BUSH	熱帯樹 	
0	37	T_MAKEUP_PALM	PALM TREE	ヤシの木 	
0	38	T_MAKEUP_PINE	LAMP POST	街灯 	
0	39	T_MAKEUP_APPLE	APPLE TREE	リンゴの木 	
0	40	T_MAKEUP_ORANGE	ORANGE TREE	オレンジの木 	
0	41	T_MAKEUP_ROSE	ROSE BUSH	バラの木 	
0	42	T_MAKEUP_LAKE	LAKE	池 	
0	43	T_MAKEUP_TREE_STUMP	TREE STUMP FENCE	木の柵 	
0	44	T_MAKEUP_PRIVIT	PRIVET HEDGE	生け垣 	
0	45	T_MAKEUP_CASTLE	CASTLE WALL	城壁 	
0	46	T_MAKEUP_WHITE	WHITE FENCE	白い柵 	
0	47	T_PATH_CONCRETE	CONCRETE PATH	歩道 	
0	48	T_PATH_YELLOW	YELLOW PATH	イエロー歩道 	
0	49	T_PATH_ONE_WAY	ONE WAY SIGNS	一方通行 	
0	50	T_PATH_SIGN	SIGN POST	案内標識 	
0	51	T_PATH_CHAIN	CHAIN LINK RAIL	チェーンレール 	
0	52	T_STAFF_SHARK	SHARK MAN	シャークマン 	
0	53	T_STAFF_TEDDY	TEDDY MAN	テディくん 	
0	54	T_STAFF_SQUID 	SQUID MAN	火星人 	
0	55	T_STAFF_HIPPO	RHINO MAN	きょうりゅうくん 	
0	56	T_STAFF_MECANIC	MECHANIC	メカニック 	
0	57	T_STAFF_HANDYMAN	HANDYMAN	スイーパー 	
0	58	T_SHOP_DRINK	DRINK	ドリンク 	
0	59	T_SHOP_SWEET	SWEET	お菓子 	
0	60	T_SHOP_SAVOURY	SAVORY	ごちそう 	
0	61	T_SHOP_TOY	TOY	おもちゃ 	
0	62	T_SHOP_GOODS_NOVELTY	NOVELTY	ノベルティグッズ 	
0	63	T_SHOP_GOODS_GIFT  	GIFT	ギフト 	
0	64	T_SHOP_FAST_FOOD  	FAST FOOD	ファーストフード 	
0	65	T_COASTER_TUBING	RIVER TUBING	ウォータースライダー 	
0	66	T_COASTER_TUBULAR	ROLLER COASTER	ジェットコースター	
0	67	T_COASTER_WOODEN	BIG DIPPER	ウッドコースター	
0	68	T_PARK_INFO_HAPPY	HAPPY	たのしい	
0	69	T_PARK_INFO_SAD	SAD	つまらない	
0	70	T_PARK_INFO_LEAVING	LEAVING	帰りたい	
0	71	T_PARK_INFO_LOST	LOST	迷った	
0	72	T_PARK_INFO_TOTAL	TOTAL	合計	
0	73	T_PARK_NAME	MY PARK	マイパーク	
0	74	T_PERSON_NAMES	BLONDE MAN   	金髪の男性  	
0	75	CELL761	WOMAN IN GREEN   	緑の服の女性  	
0	76	CELL771	YOUNG BOY   	男の子  	
0	77	CELL781	GIRL IN RED DRESS   	赤い服の女の子  	
0	78	CELL791	TRENDY MAN   	今風の男性  	
0	79	CELL801	FAT WOMAN   	オバサン  	
0	80	CELL811	BOY IN JEANS   	ジーンズの少年  	
0	81	CELL821	GIRL WITH LONG HAIR   	長い髪の少女  	
0	82	T_PIRATE_BOAT	PIRATE BOAT 	パイレーツシップ 	
