#묶음	번호	식별자	EN	JP	KO
0	0	MA_LEGAL_PATH	<1>As you can see, the Path Placement icon is ON. That means you can use the stylus to place paths!	<1>歩道設置アイコンがＯＮの状態です。\nタッチペンで歩道が書けますね。	
0	1	MA_LEGAL_RAIL	<1>Look! The Queue Placement icon is ON. Now you can use the stylus to place queues!	<1>整列歩道設置アイコンがＯＮの状態です。\nタッチペンで整列歩道が書けますね。	
0	2	MA_LEGAL_MONO	<1>As you can see, the Monorail Placement icon is ON. That means you can use the stylus to place monorail tracks!	<1>モノレールアイコンがＯＮの状態です。\nタッチペンでモノレールコースが書けますね。	
0	3	MA_LOOP_LEGAL	<1>Look! The Roller Coaster Placement icon is ON. Now you can use the stylus to place roller coaster courses!	<1>ジェットコースターアイコンがＯＮの状態です。\nタッチペンでコースが書けますね。	
0	4	MA_COASTER_HELP	<1>The height of tracks can be adjusted by first tapping their bases, then the arrows in the bottom right-hand corner of the screen.	<1>レール設置時、根元をタッチしてから\n画面右下のアイコンで、\nレールの高さを調節できます。	
0	5	MA_LEGAL_ROLER	<1>As you can see, the Roller Coaster Track icon is ON. That means you can use the stylus to place tracks.<P>The height of tracks can be adjusted by tapping their bases, then the arrows in the bottom right-hand corner of the screen.	<1>レールアイコンがＯＮの状態です。\nタッチペンでレールが書けますね。<P>レール設置時、根元をタッチしてから\n画面右下のアイコンで、\nレールの高さを調節できます。	
0	6	MA_TRACK_LEGAL	<1>Look! The Go-Kart Placement icon is ON. Now you can use the stylus to place go-kart courses for %s.	<1>ゴーカートアイコンがＯＮの状態です。\n%sのコストで\nタッチペンでコースが書けますね。	
0	7	MA_LEGAL_RIVER	<1>Oh look, the Water Slide Placement icon is ON. Use your stylus to place water slides for %s.	<1>ウォータースライダーアイコンが\nＯＮの状態です。%sのコストで\nタッチペンでコースが書けますね。	
0	8	MA_PLACE_ONEWAY	<1>Please place a one-way traffic sign. Would you choose a location on a path for the sign by tapping the screen?	<1>一方通行を案内する標識を設置します。\n場所を指定後、\nタッチペンでタッチして頂けますか？	
0	9	MA_PLACE_ONWAY_DIR	<1>Now set the facing of your sign by tapping it. Each time you tap it, the direction it is pointing will change.	<1>次に進行方向の指定です。\n設置場所を再度タッチして頂くと、\n方向が変更されます。	
0	10	MA_PLACE_ONEWAY_CONFIRM	<1>Would you please tap the OK icon when your sign is all set up?	<1>方向がこれでＯＫならば、\nＯＫアイコンをタッチして頂けますか？	
0	11	MA_PLACE_SIGN_POST	<1>Please place Sign Posts for the rides. Would you use the stylus to tap on and select a ride?	<1>案内標識を設置しますね。最初に案内したい\nアトラクション、ショップ、又は正面ゲートを\nタッチして頂けますか？	
0	12	MA_PLACE_SIGN_DIR	<1>OK, would you now choose a location for a Sign Post by tapping on a path, somewhere on the screen?	<1>次に案内標識の設置です。\n標識の設置場所をタッチして頂けますか？<P>設置した案内標識は、\n同じ所をタッチして頂くことで\n向きを変更する事ができますからね。	
0	13	MA_PLACE_SIGN_CONFIRM	<1>Great. Now set which way the Sign Post should face and tap the OK icon. 	<1>最後に案内標識の向きを決めましょう。\n方向を指定後、\nＯＫアイコンをタッチして頂けますか？	
